variable_name,variable_label
Qa_CONWATER_1,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - The federal government
Qa_CONWATER_2,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Your state government
Qa_CONWATER_3,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Your local government
Qa_CONWATER_4,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Community organizations and/or non-profit organizations
Qa_CONWATER_5,To what extent are you unsupportive or supportive of allowing the following entities to manage the regulation of water? - Corporations
Qb_CONCYBER_1,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - The federal government
Qb_CONCYBER_2,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Your state government
Qb_CONCYBER_3,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Your local government
Qb_CONCYBER_4,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Community organizations and/or non-profit organizations
Qb_CONCYBER_5,To what extent are you unsupportive or supportive of allowing the following entities to set standards for cyber security? - Corporations
Qc_CONHEALTH_1,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - The federal government
Qc_CONHEALTH_2,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Your state government
Qc_CONHEALTH_3,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Your local government
Qc_CONHEALTH_4,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Community organizations and/or non-profit organizations
Qc_CONHEALTH_5,To what extent are you unsupportive or supportive of allowing the following entities to set decisions about public health standards and protocols? - Corporations
COMP_EFF,"We are interested in which statement comes closer to your views, even if neither is exactly right."
COMP_MERIT,"We are interested in which statement comes closer to your views, even if neither is exactly right."
COMPTERROR,"We are interested in which statement comes closer to your views, even if neither is exactly right."
COMP_SPEECH,"We are interested in which statement comes closer to your views, even if neither is exactly right."
ONEWORD1a,What one word or phrase would you use to DEFINE American democracy?
ONEWORD1b,What one word or phrase would you use to DESCRIBE American voters?
ONEWORD1c,What one word or phrase would you use to DESCRIBE American government?
Hope1,"Generally speaking, on a scale from 1 to 10 where 10 is “extremely hopeful” and 1 is “extremely worried” how do you feel about the future of American democracy?"
POLEFFA1_1,Please indicate how much you agree or disagree with the statements below. - I have a good understanding of the political issues facing this country.
POLEFFA1_2,Please indicate how much you agree or disagree with the statements below. - I know more about politics than most people of my age.
POLEFFA1_3,Please indicate how much you agree or disagree with the statements below. - Public officials don’t care about what people like me think.
POLEFFA1_4,Please indicate how much you agree or disagree with the statements below. - I have access to all the information I need to participate in our democracy with confidence.
VCOMPA1_1_1,Please indicate how much you agree or disagree with the statements below as they relate to NATIONAL elections. - My vote matters a great deal to who wins in national elections.
VCOMPA1_1_2,Please indicate how much you agree or disagree with the statements below as they relate to NATIONAL elections. - I am well qualified to choose which national candidate to vote for.
VCOMPA1_1_3,Please indicate how much you agree or disagree with the statements below as they relate to NATIONAL elections. - The outcomes of the 2024 national elections will have a big effect on my life.
VCOMPA1_1_4,"Please indicate how much you agree or disagree with the statements below as they relate to NATIONAL elections. - If I don’t vote, others will do a good job of picking the right national candidate."
VCOMPA1_1_5,"Please indicate how much you agree or disagree with the statements below as they relate to NATIONAL elections. - I know a great deal about each national candidate’s policy positions, experience, and other qualities."
VCOMPA1_1_6,Please indicate how much you agree or disagree with the statements below as they relate to NATIONAL elections. - It is easy for me to figure out which national candidate to vote for.
VCOMPA1_2_1,Please indicate how much you agree or disagree with the statements below as they relate to your STATE  elections. - My vote matters a great deal to who wins in state elections.
VCOMPA1_2_2,Please indicate how much you agree or disagree with the statements below as they relate to your STATE  elections. - I am well qualified to choose which state candidates to vote for.
VCOMPA1_2_3,Please indicate how much you agree or disagree with the statements below as they relate to your STATE  elections. - The outcomes of the 2024 state elections will have a big effect on my life.
VCOMPA1_2_4,"Please indicate how much you agree or disagree with the statements below as they relate to your STATE  elections. - If I don’t vote, others will do a good job of picking the right state candidates."
VCOMPA1_2_5,"Please indicate how much you agree or disagree with the statements below as they relate to your STATE  elections. - I know a great deal about each state candidate’s policy positions, experience, and other qualities."
VCOMPA1_2_6,Please indicate how much you agree or disagree with the statements below as they relate to your STATE  elections. - It is easy for me to figure out which state candidates to vote for.
VCOMPA1_3_1,Please indicate how much you agree or disagree with the statements below as they relate to your LOCAL  elections. - My vote matters a great deal to who wins in local elections.
VCOMPA1_3_2,Please indicate how much you agree or disagree with the statements below as they relate to your LOCAL  elections. - I am well qualified to choose which local candidates to vote for.
VCOMPA1_3_3,Please indicate how much you agree or disagree with the statements below as they relate to your LOCAL  elections. - The outcomes of the 2024 local elections will have a big effect on my life.
VCOMPA1_3_4,"Please indicate how much you agree or disagree with the statements below as they relate to your LOCAL  elections. - If I don’t vote, others will do a good job of picking the right local candidates."
VCOMPA1_3_5,"Please indicate how much you agree or disagree with the statements below as they relate to your LOCAL  elections. - I know a great deal about each local candidate’s policy positions, experience, and other qualities."
VCOMPA1_3_6,Please indicate how much you agree or disagree with the statements below as they relate to your LOCAL  elections. - It is easy for me to figure out which local candidates to vote for.
DEMPOLICYa1_1,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that ban the use of certain words in government programs"
DEMPOLICYa1_2,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that promote bail reform"
DEMPOLICYa1_3,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that make it easier to vote in elections"
DEMPOLICYa1_4,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that create job training programs for diverse communities"
DEMPOLICYa1_5,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that require gender neutral bathrooms"
DEMPOLICYa1_6,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that address racial inequality in voting districts"
DEMPOLICYa1_7,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that restrict hair styles in schools"
DEMPOLICYa1_8,"Below are a series of public issues. We would like you to tell us, in your opinion, which “policy area” best fits each issue. - Policies that prevent fraud in public benefits programs"
CITZEFF1_1,How capable do you think you would be at each of the following? - Researching nonpartisan information about a controversial political or social issue.
CITZEFF1_2,How capable do you think you would be at each of the following? - Organizing a group of people to achieve changes that help others.
CITZEFF1_3,How capable do you think you would be at each of the following? - Discussing a newspaper article about a conflict between countries.
CITZEFF1_4,How capable do you think you would be at each of the following? - Listening to people who hold beliefs that are different than mine.
TROUBDEMO_1,Please indicate how much you agree or disagree with the statements below. - A time will come when patriotic Americans have to take the law into their own hands.
TROUBDEMO_2,Please indicate how much you agree or disagree with the statements below. - The main trouble with democracy is that most people don’t really know what’s best for them.
TROUBDEMO_3,Please indicate how much you agree or disagree with the statements below. - Strong leaders sometimes have to bend the rules in order to get things done.
TROUBDEMO_4,Please indicate how much you agree or disagree with the statements below. - Strong leaders sometimes have to break the rules in order to get things done.
TROUBDEMO_5,Please indicate how much you agree or disagree with the statements below. - Strong leaders sometimes have to follow the rules in order to get things done.
TROUBDEMO_6,Please indicate how much you agree or disagree with the statements below. - The United States is on the brink of a new civil war.
TROUBDEMO_7,Please indicate how much you agree or disagree with the statements below. - The United States is on the brink of a new civil war over race and ethnicity.
TROUBDEMO_8,Please indicate how much you agree or disagree with the statements below. - The United States is on the brink of a new civil war over who’s a real American.
TROUBDEMO_9,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins.
TROUBDEMO_10,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins control of congress.
TROUBDEMO_11,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins control of our state legislature.
TROUBDEMO_12,Please indicate how much you agree or disagree with the statements below. - I support the use of violence to ensure my party wins the presidency.
Merit_1,Please indicate how much you agree or disagree with the statements below. - I am a good judge of whether another person needs help.
Merit_2,Please indicate how much you agree or disagree with the statements below. - Everyone has it in their own power to succeed.
Merit_3,Please indicate how much you agree or disagree with the statements below. - Society suffers when people cannot meet their own basic needs.
MERIT4_1,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to people make them too dependent on public support.
MERIT4_2,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to farmers make them too dependent on public support.
MERIT4_3,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to military veterans make them too dependent on public support.
MERIT4_4,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to rural communities make them too dependent on public support.
MERIT4_5,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to people who are unemployed make them too dependent on public support.
MERIT4_6,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to senior citizens make them too dependent on public support.
MERIT4_7,Please indicate how much you agree or disagree with this statement. - Public policies that provide economic assistance to racial-ethnic minorities make them too dependent on public support.
WRACEPRE1,"We are interested in an honest assessment of your feelings about African Americans. 



Please place yourself on a zero-to-ten scale, where “0” means that you are NOT prejudiced against African Americans at all and where “10” means that you are EXTREMELY prejudiced against African Americans.  Which number would you choose to describe yourself?  You can choose any number between zero and ten."
WRACEPRE2,"Now, think for a moment about African Americans in the area where you live.  



Use the same zero-to-ten scale, where “0” means that they are NOT prejudiced against White people at all and where “10” means that they are EXTREMELY prejudiced against White people.  Which number would you choose to describe African Americans in the area where you live?  You can choose any number between zero and ten."
BRACEPRE1,"We are interested in an honest assessment of your feelings about White people.



Please place yourself on a zero-to-ten scale, where “0” means that you are NOT prejudiced against White people at all and where “10” means that you are EXTREMELY prejudiced against White people.  Which number would you choose to describe yourself?  You can choose any number between zero and ten."
BRACEPRE2,"Now, think for a moment about White people in the area where you live.  



Use the same zero-to-ten scale, where “0” means that they are NOT prejudiced against African Americans at all and where “10” means that they are EXTREMELY prejudiced against African Americans.  Which number would you choose to describe White people in the area where you live?  You can choose any number between zero and ten."
WRTA_1,Please indicate how much you agree or disagree with the statements below. - I resent any special considerations that Africans Americans receive because it’s unfair to other Americans.
WRTA_2,"Please indicate how much you agree or disagree with the statements below. - For African Americans to succeed, they need to stop using past racism and slavery as excuses."
WRTA_3,Please indicate how much you agree or disagree with the statements below. - Special considerations for African Americans place me at an unfair disadvantage because I have done nothing to harm them.
WRTA_4,Please indicate how much you agree or disagree with the statements below. - African Americans bring up race only when they need to make an excuse for their failure.
AARTW_1,Please indicate how much you agree or disagree with the statements below. - I resent when Whites deny the existence of racial discrimination.
AARTW_2,Please indicate how much you agree or disagree with the statements below. - Whites get away with offenses that African Americans would never get away with.
AARTW_3,Please indicate how much you agree or disagree with the statements below. - Whites do not go to great lengths to understand the problems African Americans face.
AARTW_4,"Please indicate how much you agree or disagree with the statements below. - Even when African Americans work hard to succeed, Whites still view them in lesser terms."
WD2_1,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - An ideal society requires some groups to be on top and others to be on the bottom."
WD2_2,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - Some groups of people are simply inferior to other groups."
WD2_3,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - No one group should be dominant in society."
WD2_4,"There are many kinds of groups in the world: men and women, ethnic and religious groups, nationalities, political factions. How much do you agree or disagree with each idea about groups in general? - Groups at the bottom are always just as deserving as groups at the top."
WD3_1,Please indicate how much you agree or disagree with the statements below. - The American way of life is under attack.
WD3_2,Please indicate how much you agree or disagree with the statements below. - Things are really out of control in the United States.
WD3_3,Please indicate how much you agree or disagree with the statements below. - The United States of the past is a much better place than the United States of the future.
WD3_4,Please indicate how much you agree or disagree with the statements below. - Society is set up so that people usually get what they deserve.
WD3_5,Please indicate how much you agree or disagree with the statements below. - Everyone has a fair shot at wealth and happiness if they play by the rules.
WD3_6,Please indicate how much you agree or disagree with the statements below. - We must work hard to defend and preserve the way things are.
WD3_7,Please indicate how much you agree or disagree with the statements below. - The United States is changing too fast.
KNOWCIV1_MC,"In the case of a tied vote in the U.S. Senate, is the deciding vote cast by…"
KNOWCIV1_TF,"In the case of a tied vote in the U.S. Senate, the deciding vote is cast by the vice president."
KNOWCIV2_MC,"As you may know, a filibuster in the U.S. Senate can be used to prevent legislation from coming to a vote. Of the 100 U.S. senators, how many votes are needed to end a filibuster?"
KNOWCIV2_TF,"As you may know, a filibuster in the U.S. Senate can be used to prevent legislation from coming to a vote. Of the 100 U.S. senators, 60 votes are needed to end a filibuster."
KNOWCIV3_MC,Which right isn’t guaranteed in the First Amendment?
KNOWCIV3_TF,The freedom to vote is a right guaranteed in the First Amendment.
KNOWCIV4_MC,Which of these is a power held by the president?
KNOWCIV4_TF,Making changes to taxes is a power held by the president?
KNOWCIV5_MC,"According to the Declaration of Independence, what is the primary purpose of government?"
KNOWCIV5_TF,"According to the Declaration of Independence, the primary purpose of the government is to provide an organized system of rule."
KNOWCIV6_MC,The institution of slavery was a key issue that caused which war in the United States?
KNOWCIV6_TF,The institution of slavery was a key issue that caused the American Revolutionary War in the United States?
COMP_ECON,"We are interested in which statement comes closer to your views, even if neither is exactly right."
COMP_GOVT,"We are interested in which statement comes closer to your views, even if neither is exactly right."
COMP_JURY,"We are interested in which statement comes closer to your views, even if neither is exactly right."
ATALENTS1,"In your view, has America been successful more because of its ability to change or more because of its reliance on long-standing principles?"
ATALENTS2,"In your view, has America been successful more because of its democratic system of government or more because of its free-market system of business?"
ATALENTS3,"In your view, has America been successful more because of its freedoms afforded in the Constitution or more because of its ability to constrain some freedoms for the greater good?"
DEMO_INVEST_Fed_1_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Making it easier to vote - Click to write Scale Point 1"
DEMO_INVEST_Fed_2_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that provide greater access to elected officials - Click to write Scale Point 1"
DEMO_INVEST_Fed_3_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Civic learning programs for citizens that provide a common understanding about democracy - Click to write Scale Point 1"
DEMO_INVEST_Fed_4_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Better general education to improve understanding of public policy issues - Click to write Scale Point 1"
DEMO_INVEST_Fed_5_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Activities that build trust between community organization and government - Click to write Scale Point 1"
DEMO_INVEST_Fed_6_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Charitable support for immigrants arriving in the country with very little resources - Click to write Scale Point 1"
DEMO_INVEST_Fed_7_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Incentives for participation in jury duty - Click to write Scale Point 1"
DEMO_INVEST_Fed_8_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Funding for public radio and television journalism - Click to write Scale Point 1"
DEMO_INVEST_Fed_9_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that bring together those with different perspectives - Click to write Scale Point 1"
DEMO_INVEST_Fed_10_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in the United States.



How would you allocate your $100 to the different items that support democracy for the federal government? (the total amount must sum to $100): The total amount must sum to $100 - Amount to keep for myself - Click to write Scale Point 1"
DEMO_INVEST_State_1_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Making it easier to vote - Click to write Scale Point 1"
DEMO_INVEST_State_2_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that provide greater access to elected officials - Click to write Scale Point 1"
DEMO_INVEST_State_3_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Civic learning programs for citizens that provide a common understanding about democracy - Click to write Scale Point 1"
DEMO_INVEST_State_4_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Better general education to improve understanding of public policy issues - Click to write Scale Point 1"
DEMO_INVEST_State_5_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Activities that build trust between community organization and government - Click to write Scale Point 1"
DEMO_INVEST_State_6_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Charitable support for immigrants arriving in the country with very little resources - Click to write Scale Point 1"
DEMO_INVEST_State_7_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Incentives for participation in jury duty - Click to write Scale Point 1"
DEMO_INVEST_State_8_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Funding for public radio and television journalism - Click to write Scale Point 1"
DEMO_INVEST_State_9_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that bring together those with different perspectives - Click to write Scale Point 1"
DEMO_INVEST_State_10_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your state.  



How would you allocate your $100 to the different items that support democracy for your state government? (the total amount must sum to $100): The total amount must sum to $100 - Amount to keep for myself - Click to write Scale Point 1"
DEMO_INVEST_Local_1_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Making it easier to vote - Click to write Scale Point 1"
DEMO_INVEST_Local_2_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that provide greater access to elected officials - Click to write Scale Point 1"
DEMO_INVEST_Local_3_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Civic learning programs for citizens that provide a common understanding about democracy - Click to write Scale Point 1"
DEMO_INVEST_Local_4_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Better general education to improve understanding of public policy issues - Click to write Scale Point 1"
DEMO_INVEST_Local_5_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Activities that build trust between community organization and government - Click to write Scale Point 1"
DEMO_INVEST_Local_6_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Charitable support for immigrants arriving in the country with very little resources - Click to write Scale Point 1"
DEMO_INVEST_Local_7_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Incentives for participation in jury duty - Click to write Scale Point 1"
DEMO_INVEST_Local_8_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Funding for public radio and television journalism - Click to write Scale Point 1"
DEMO_INVEST_Local_9_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Programs that bring together those with different perspectives - Click to write Scale Point 1"
DEMO_INVEST_Local_10_1,"Assume that every eligible voter in the U.S. was provided $100 “democracy policy dollars” to invest in strengthening democracy in your local community.  



How would you allocate your $100 to the different items that support democracy for your local government? (the total amount must sum to $100): The total amount must sum to $100 - Amount to keep for myself - Click to write Scale Point 1"
PID1,"In politics today, do you consider yourself a…"
PID2,As of today do you lean more to…
partyid4,"Q7: Generally speaking, do you think of yourself as a..."
Interest_1_1.0,Interest_1_1
Interest_1_2.0,Interest_1_2
Interest_1_3.0,Interest_1_3
Interest_1_4.0,Interest_1_4
DOV_PID5_WV1_WV2,
DOV_Respect,DOV_Respect
DOV_Trust,DOV_Trust
DOV_Trust_2,DOV_Trust_2
DOV_VCOMPA1,DOV_VCOMPA1
DOV_MERIT4,DOV_MERIT4
DOV_Dollar,DOV_Dollar
TROUBDEMOC,TROUBDEMOC
TROUBDEMOD,TROUBDEMOD
TROUBDEMOE,TROUBDEMOE
ppethm_345_1,ppethm_345_1
ppethm_345_2,ppethm_345_2
KNOWCIV1_MC_quota,KNOWCIV1_MC_quota
KNOWCIV1_TF_quota,KNOWCIV1_TF_quota
KNOWCIV2_MC_quota,KNOWCIV2_MC_quota
KNOWCIV2_TF_quota,KNOWCIV2_TF_quota
KNOWCIV3_MC_quota,KNOWCIV3_MC_quota
KNOWCIV3_TF_quota,KNOWCIV3_TF_quota
KNOWCIV4_MC_quota,KNOWCIV4_MC_quota
KNOWCIV4_TF_quota,KNOWCIV4_TF_quota
KNOWCIV5_MC_quota,KNOWCIV5_MC_quota
KNOWCIV5_TF_quota,KNOWCIV5_TF_quota
KNOWCIV6_MC_quota,KNOWCIV6_MC_quota
KNOWCIV6_TF_quota,KNOWCIV6_TF_quota
W2_HUMFL1,"In general, how positive (happy) or negative (unhappy) do you usually feel these days?"
W2_HUMFL2,"Overall, to what extent do you feel the things you do in your life are worthwhile?"
W2_HUMFL3_1,"Please read the statements below. For each one, please tell us whether the statement is not true of you at all or completely true of you. - I understand my purpose in life."
W2_HUMFL3_2,"Please read the statements below. For each one, please tell us whether the statement is not true of you at all or completely true of you. - Even in difficult and challenging situations I always act to promote good in all circumstances."
