variable_name,value,value_label
Interest_1_5,-1.0,Skipped
Interest_1_5,1.0,None at all
Interest_1_5,2.0,A little
Interest_1_5,3.0,A fair amount
Interest_1_5,4.0,A lot
Interest_1_6,-1.0,Skipped
Interest_1_6,1.0,None at all
Interest_1_6,2.0,A little
Interest_1_6,3.0,A fair amount
Interest_1_6,4.0,A lot
Interest_1_7,-1.0,Skipped
Interest_1_7,1.0,None at all
Interest_1_7,2.0,A little
Interest_1_7,3.0,A fair amount
Interest_1_7,4.0,A lot
Interest_1_8,-1.0,Skipped
Interest_1_8,1.0,None at all
Interest_1_8,2.0,A little
Interest_1_8,3.0,A fair amount
Interest_1_8,4.0,A lot
Interest_1_9,-1.0,Skipped
Interest_1_9,1.0,None at all
Interest_1_9,2.0,A little
Interest_1_9,3.0,A fair amount
Interest_1_9,4.0,A lot
Interest_1_10,-1.0,Skipped
Interest_1_10,1.0,None at all
Interest_1_10,2.0,A little
Interest_1_10,3.0,A fair amount
Interest_1_10,4.0,A lot
Interest_1_11,-1.0,Skipped
Interest_1_11,1.0,None at all
Interest_1_11,2.0,A little
Interest_1_11,3.0,A fair amount
Interest_1_11,4.0,A lot
Fed_Trust,-1.0,Skipped
Fed_Trust,1.0,No trust at all
Fed_Trust,2.0,A little trust
Fed_Trust,3.0,A fair amount
Fed_Trust,4.0,A great deal of trust
State_Trust,-1.0,Skipped
State_Trust,1.0,No trust at all
State_Trust,2.0,A little trust
State_Trust,3.0,A fair amount
State_Trust,4.0,A great deal of trust
Local_Trust,-1.0,Skipped
Local_Trust,1.0,No trust at all
Local_Trust,2.0,A little trust
Local_Trust,3.0,A fair amount
Local_Trust,4.0,A great deal of trust
Qa_CONWATER_1,-1.0,Skipped
Qa_CONWATER_1,1.0,Not at all supportive
Qa_CONWATER_1,2.0,Unsupportive
Qa_CONWATER_1,3.0,Neither unsupportive nor supportive
Qa_CONWATER_1,4.0,Supportive
Qa_CONWATER_1,5.0,Very supportive
Qa_CONWATER_2,-1.0,Skipped
Qa_CONWATER_2,1.0,Not at all supportive
Qa_CONWATER_2,2.0,Unsupportive
Qa_CONWATER_2,3.0,Neither unsupportive nor supportive
Qa_CONWATER_2,4.0,Supportive
Qa_CONWATER_2,5.0,Very supportive
Qa_CONWATER_3,-1.0,Skipped
Qa_CONWATER_3,1.0,Not at all supportive
Qa_CONWATER_3,2.0,Unsupportive
Qa_CONWATER_3,3.0,Neither unsupportive nor supportive
Qa_CONWATER_3,4.0,Supportive
Qa_CONWATER_3,5.0,Very supportive
Qa_CONWATER_4,-1.0,Skipped
Qa_CONWATER_4,1.0,Not at all supportive
Qa_CONWATER_4,2.0,Unsupportive
Qa_CONWATER_4,3.0,Neither unsupportive nor supportive
Qa_CONWATER_4,4.0,Supportive
Qa_CONWATER_4,5.0,Very supportive
Qa_CONWATER_5,-1.0,Skipped
Qa_CONWATER_5,1.0,Not at all supportive
Qa_CONWATER_5,2.0,Unsupportive
Qa_CONWATER_5,3.0,Neither unsupportive nor supportive
Qa_CONWATER_5,4.0,Supportive
Qa_CONWATER_5,5.0,Very supportive
Qb_CONCYBER_1,-1.0,Skipped
Qb_CONCYBER_1,1.0,Not at all supportive
Qb_CONCYBER_1,2.0,Unsupportive
Qb_CONCYBER_1,3.0,Neither unsupportive nor supportive
Qb_CONCYBER_1,4.0,Supportive
Qb_CONCYBER_1,5.0,Very supportive
Qb_CONCYBER_2,-1.0,Skipped
Qb_CONCYBER_2,1.0,Not at all supportive
Qb_CONCYBER_2,2.0,Unsupportive
Qb_CONCYBER_2,3.0,Neither unsupportive nor supportive
Qb_CONCYBER_2,4.0,Supportive
Qb_CONCYBER_2,5.0,Very supportive
Qb_CONCYBER_3,-1.0,Skipped
Qb_CONCYBER_3,1.0,Not at all supportive
Qb_CONCYBER_3,2.0,Unsupportive
Qb_CONCYBER_3,3.0,Neither unsupportive nor supportive
Qb_CONCYBER_3,4.0,Supportive
Qb_CONCYBER_3,5.0,Very supportive
Qb_CONCYBER_4,-1.0,Skipped
Qb_CONCYBER_4,1.0,Not at all supportive
Qb_CONCYBER_4,2.0,Unsupportive
Qb_CONCYBER_4,3.0,Neither unsupportive nor supportive
Qb_CONCYBER_4,4.0,Supportive
Qb_CONCYBER_4,5.0,Very supportive
Qb_CONCYBER_5,-1.0,Skipped
Qb_CONCYBER_5,1.0,Not at all supportive
Qb_CONCYBER_5,2.0,Unsupportive
Qb_CONCYBER_5,3.0,Neither unsupportive nor supportive
Qb_CONCYBER_5,4.0,Supportive
Qb_CONCYBER_5,5.0,Very supportive
Qc_CONHEALTH_1,-1.0,Skipped
Qc_CONHEALTH_1,1.0,Not at all supportive
Qc_CONHEALTH_1,2.0,Unsupportive
Qc_CONHEALTH_1,3.0,Neither unsupportive nor supportive
Qc_CONHEALTH_1,4.0,Supportive
Qc_CONHEALTH_1,5.0,Very supportive
Qc_CONHEALTH_2,-1.0,Skipped
Qc_CONHEALTH_2,1.0,Not at all supportive
Qc_CONHEALTH_2,2.0,Unsupportive
Qc_CONHEALTH_2,3.0,Neither unsupportive nor supportive
Qc_CONHEALTH_2,4.0,Supportive
Qc_CONHEALTH_2,5.0,Very supportive
Qc_CONHEALTH_3,-1.0,Skipped
Qc_CONHEALTH_3,1.0,Not at all supportive
Qc_CONHEALTH_3,2.0,Unsupportive
Qc_CONHEALTH_3,3.0,Neither unsupportive nor supportive
Qc_CONHEALTH_3,4.0,Supportive
Qc_CONHEALTH_3,5.0,Very supportive
Qc_CONHEALTH_4,-1.0,Skipped
Qc_CONHEALTH_4,1.0,Not at all supportive
Qc_CONHEALTH_4,2.0,Unsupportive
Qc_CONHEALTH_4,3.0,Neither unsupportive nor supportive
Qc_CONHEALTH_4,4.0,Supportive
Qc_CONHEALTH_4,5.0,Very supportive
Qc_CONHEALTH_5,-1.0,Skipped
Qc_CONHEALTH_5,1.0,Not at all supportive
Qc_CONHEALTH_5,2.0,Unsupportive
Qc_CONHEALTH_5,3.0,Neither unsupportive nor supportive
Qc_CONHEALTH_5,4.0,Supportive
Qc_CONHEALTH_5,5.0,Very supportive
COMP_EFF,-1.0,Skipped
COMP_EFF,1.0,Ordinary citizens can do a lot to influence the government in Washington if they are willing to make the effort
COMP_EFF,2.0,There’s not much ordinary citizens can do to influence the government in Washington
COMP_MERIT,-1.0,Skipped
COMP_MERIT,1.0,Most people who want to get ahead can make it if they're willing to work hard
COMP_MERIT,2.0,Hard work and determination are no guarantee of success for most people
COMPTERROR,-1.0,Skipped
COMPTERROR,1.0,Americans need to sacrifice some privacy and freedoms in order to be safe from terrorism
COMPTERROR,2.0,Americans do NOT need to sacrifice privacy and freedoms in order to be safe from terrorism
COMP_SPEECH,-1.0,Skipped
COMP_SPEECH,1.0,People need to be more careful about the language they use to avoid offending people with different backgrounds
COMP_SPEECH,2.0,Too many people are easily offended these days over the language that others use
Hope1,-1.0,Skipped
Hope1,1.0,1 – Extremely worried
Hope1,2.0,2
Hope1,3.0,3 – Worried
Hope1,4.0,4
Hope1,5.0,5 – Neither hopeful nor worried
Hope1,6.0,6
Hope1,7.0,7 – Hopeful
Hope1,8.0,8
Hope1,9.0,9
Hope1,10.0,10 – Extremely hopeful
POLEFFA1_1,-1.0,Skipped
POLEFFA1_1,1.0,Strongly disagree
POLEFFA1_1,2.0,Disagree
POLEFFA1_1,3.0,Neither agree nor disagree
POLEFFA1_1,4.0,Agree
POLEFFA1_1,5.0,Strongly agree
POLEFFA1_2,-1.0,Skipped
POLEFFA1_2,1.0,Strongly disagree
POLEFFA1_2,2.0,Disagree
POLEFFA1_2,3.0,Neither agree nor disagree
POLEFFA1_2,4.0,Agree
POLEFFA1_2,5.0,Strongly agree
POLEFFA1_3,-1.0,Skipped
POLEFFA1_3,1.0,Strongly disagree
POLEFFA1_3,2.0,Disagree
POLEFFA1_3,3.0,Neither agree nor disagree
POLEFFA1_3,4.0,Agree
POLEFFA1_3,5.0,Strongly agree
POLEFFA1_4,-1.0,Skipped
POLEFFA1_4,1.0,Strongly disagree
POLEFFA1_4,2.0,Disagree
POLEFFA1_4,3.0,Neither agree nor disagree
POLEFFA1_4,4.0,Agree
POLEFFA1_4,5.0,Strongly agree
VCOMPA1_1_1,-1.0,Skipped
VCOMPA1_1_1,1.0,Strongly disagree
VCOMPA1_1_1,2.0,Disagree
VCOMPA1_1_1,3.0,Neither agree nor disagree
VCOMPA1_1_1,4.0,Agree
VCOMPA1_1_1,5.0,Strongly agree
VCOMPA1_1_2,-1.0,Skipped
VCOMPA1_1_2,1.0,Strongly disagree
VCOMPA1_1_2,2.0,Disagree
VCOMPA1_1_2,3.0,Neither agree nor disagree
VCOMPA1_1_2,4.0,Agree
VCOMPA1_1_2,5.0,Strongly agree
VCOMPA1_1_3,-1.0,Skipped
VCOMPA1_1_3,1.0,Strongly disagree
VCOMPA1_1_3,2.0,Disagree
VCOMPA1_1_3,3.0,Neither agree nor disagree
VCOMPA1_1_3,4.0,Agree
VCOMPA1_1_3,5.0,Strongly agree
VCOMPA1_1_4,-1.0,Skipped
VCOMPA1_1_4,1.0,Strongly disagree
VCOMPA1_1_4,2.0,Disagree
VCOMPA1_1_4,3.0,Neither agree nor disagree
VCOMPA1_1_4,4.0,Agree
VCOMPA1_1_4,5.0,Strongly agree
VCOMPA1_1_5,-1.0,Skipped
VCOMPA1_1_5,1.0,Strongly disagree
VCOMPA1_1_5,2.0,Disagree
VCOMPA1_1_5,3.0,Neither agree nor disagree
VCOMPA1_1_5,4.0,Agree
VCOMPA1_1_5,5.0,Strongly agree
VCOMPA1_1_6,-1.0,Skipped
VCOMPA1_1_6,1.0,Strongly disagree
VCOMPA1_1_6,2.0,Disagree
VCOMPA1_1_6,3.0,Neither agree nor disagree
VCOMPA1_1_6,4.0,Agree
VCOMPA1_1_6,5.0,Strongly agree
VCOMPA1_2_1,-1.0,Skipped
VCOMPA1_2_1,1.0,Strongly disagree
VCOMPA1_2_1,2.0,Disagree
VCOMPA1_2_1,3.0,Neither agree nor disagree
VCOMPA1_2_1,4.0,Agree
VCOMPA1_2_1,5.0,Strongly agree
VCOMPA1_2_2,-1.0,Skipped
VCOMPA1_2_2,1.0,Strongly disagree
VCOMPA1_2_2,2.0,Disagree
VCOMPA1_2_2,3.0,Neither agree nor disagree
VCOMPA1_2_2,4.0,Agree
VCOMPA1_2_2,5.0,Strongly agree
VCOMPA1_2_3,-1.0,Skipped
VCOMPA1_2_3,1.0,Strongly disagree
VCOMPA1_2_3,2.0,Disagree
VCOMPA1_2_3,3.0,Neither agree nor disagree
VCOMPA1_2_3,4.0,Agree
VCOMPA1_2_3,5.0,Strongly agree
VCOMPA1_2_4,-1.0,Skipped
VCOMPA1_2_4,1.0,Strongly disagree
VCOMPA1_2_4,2.0,Disagree
VCOMPA1_2_4,3.0,Neither agree nor disagree
VCOMPA1_2_4,4.0,Agree
VCOMPA1_2_4,5.0,Strongly agree
VCOMPA1_2_5,-1.0,Skipped
VCOMPA1_2_5,1.0,Strongly disagree
VCOMPA1_2_5,2.0,Disagree
VCOMPA1_2_5,3.0,Neither agree nor disagree
VCOMPA1_2_5,4.0,Agree
VCOMPA1_2_5,5.0,Strongly agree
VCOMPA1_2_6,-1.0,Skipped
VCOMPA1_2_6,1.0,Strongly disagree
VCOMPA1_2_6,2.0,Disagree
VCOMPA1_2_6,3.0,Neither agree nor disagree
VCOMPA1_2_6,4.0,Agree
VCOMPA1_2_6,5.0,Strongly agree
VCOMPA1_3_1,-1.0,Skipped
VCOMPA1_3_1,1.0,Strongly disagree
VCOMPA1_3_1,2.0,Disagree
VCOMPA1_3_1,3.0,Neither agree nor disagree
VCOMPA1_3_1,4.0,Agree
VCOMPA1_3_1,5.0,Strongly agree
VCOMPA1_3_2,-1.0,Skipped
VCOMPA1_3_2,1.0,Strongly disagree
VCOMPA1_3_2,2.0,Disagree
VCOMPA1_3_2,3.0,Neither agree nor disagree
VCOMPA1_3_2,4.0,Agree
VCOMPA1_3_2,5.0,Strongly agree
VCOMPA1_3_3,-1.0,Skipped
VCOMPA1_3_3,1.0,Strongly disagree
VCOMPA1_3_3,2.0,Disagree
VCOMPA1_3_3,3.0,Neither agree nor disagree
VCOMPA1_3_3,4.0,Agree
VCOMPA1_3_3,5.0,Strongly agree
VCOMPA1_3_4,-1.0,Skipped
VCOMPA1_3_4,1.0,Strongly disagree
VCOMPA1_3_4,2.0,Disagree
VCOMPA1_3_4,3.0,Neither agree nor disagree
VCOMPA1_3_4,4.0,Agree
VCOMPA1_3_4,5.0,Strongly agree
VCOMPA1_3_5,-1.0,Skipped
VCOMPA1_3_5,1.0,Strongly disagree
VCOMPA1_3_5,2.0,Disagree
VCOMPA1_3_5,3.0,Neither agree nor disagree
VCOMPA1_3_5,4.0,Agree
VCOMPA1_3_5,5.0,Strongly agree
VCOMPA1_3_6,-1.0,Skipped
VCOMPA1_3_6,1.0,Strongly disagree
VCOMPA1_3_6,2.0,Disagree
VCOMPA1_3_6,3.0,Neither agree nor disagree
VCOMPA1_3_6,4.0,Agree
VCOMPA1_3_6,5.0,Strongly agree
DEMPOLICYa1_1,-1.0,Skipped
DEMPOLICYa1_1,1.0,Economic policy
DEMPOLICYa1_1,2.0,National security policy
DEMPOLICYa1_1,3.0,Criminal justice policy
DEMPOLICYa1_1,4.0,Democracy policy
DEMPOLICYa1_1,5.0,Social welfare policy
DEMPOLICYa1_1,6.0,Don’t know
DEMPOLICYa1_2,-1.0,Skipped
DEMPOLICYa1_2,1.0,Economic policy
DEMPOLICYa1_2,2.0,National security policy
DEMPOLICYa1_2,3.0,Criminal justice policy
DEMPOLICYa1_2,4.0,Democracy policy
DEMPOLICYa1_2,5.0,Social welfare policy
DEMPOLICYa1_2,6.0,Don’t know
DEMPOLICYa1_3,-1.0,Skipped
DEMPOLICYa1_3,1.0,Economic policy
DEMPOLICYa1_3,2.0,National security policy
DEMPOLICYa1_3,3.0,Criminal justice policy
DEMPOLICYa1_3,4.0,Democracy policy
DEMPOLICYa1_3,5.0,Social welfare policy
DEMPOLICYa1_3,6.0,Don’t know
DEMPOLICYa1_4,-1.0,Skipped
DEMPOLICYa1_4,1.0,Economic policy
DEMPOLICYa1_4,2.0,National security policy
DEMPOLICYa1_4,3.0,Criminal justice policy
DEMPOLICYa1_4,4.0,Democracy policy
DEMPOLICYa1_4,5.0,Social welfare policy
DEMPOLICYa1_4,6.0,Don’t know
DEMPOLICYa1_5,-1.0,Skipped
DEMPOLICYa1_5,1.0,Economic policy
DEMPOLICYa1_5,2.0,National security policy
DEMPOLICYa1_5,3.0,Criminal justice policy
DEMPOLICYa1_5,4.0,Democracy policy
DEMPOLICYa1_5,5.0,Social welfare policy
DEMPOLICYa1_5,6.0,Don’t know
DEMPOLICYa1_6,-1.0,Skipped
DEMPOLICYa1_6,1.0,Economic policy
DEMPOLICYa1_6,2.0,National security policy
DEMPOLICYa1_6,3.0,Criminal justice policy
DEMPOLICYa1_6,4.0,Democracy policy
DEMPOLICYa1_6,5.0,Social welfare policy
DEMPOLICYa1_6,6.0,Don’t know
DEMPOLICYa1_7,-1.0,Skipped
DEMPOLICYa1_7,1.0,Economic policy
DEMPOLICYa1_7,2.0,National security policy
DEMPOLICYa1_7,3.0,Criminal justice policy
DEMPOLICYa1_7,4.0,Democracy policy
DEMPOLICYa1_7,5.0,Social welfare policy
DEMPOLICYa1_7,6.0,Don’t know
DEMPOLICYa1_8,-1.0,Skipped
DEMPOLICYa1_8,1.0,Economic policy
DEMPOLICYa1_8,2.0,National security policy
DEMPOLICYa1_8,3.0,Criminal justice policy
DEMPOLICYa1_8,4.0,Democracy policy
DEMPOLICYa1_8,5.0,Social welfare policy
DEMPOLICYa1_8,6.0,Don’t know
CITZEFF1_1,-1.0,Skipped
CITZEFF1_1,1.0,Not at all capable
CITZEFF1_1,2.0,Not very capable
CITZEFF1_1,3.0,Capable
CITZEFF1_1,4.0,Extremely capable
CITZEFF1_1,5.0,Not sure
CITZEFF1_2,-1.0,Skipped
CITZEFF1_2,1.0,Not at all capable
CITZEFF1_2,2.0,Not very capable
CITZEFF1_2,3.0,Capable
CITZEFF1_2,4.0,Extremely capable
CITZEFF1_2,5.0,Not sure
CITZEFF1_3,-1.0,Skipped
CITZEFF1_3,1.0,Not at all capable
CITZEFF1_3,2.0,Not very capable
CITZEFF1_3,3.0,Capable
CITZEFF1_3,4.0,Extremely capable
CITZEFF1_3,5.0,Not sure
CITZEFF1_4,-1.0,Skipped
CITZEFF1_4,1.0,Not at all capable
CITZEFF1_4,2.0,Not very capable
CITZEFF1_4,3.0,Capable
CITZEFF1_4,4.0,Extremely capable
CITZEFF1_4,5.0,Not sure
TROUBDEMO_1,-1.0,Skipped
TROUBDEMO_1,1.0,Strongly disagree
TROUBDEMO_1,2.0,Disagree
TROUBDEMO_1,3.0,Neither agree nor disagree
TROUBDEMO_1,4.0,Agree
TROUBDEMO_1,5.0,Strongly agree
TROUBDEMO_2,-1.0,Skipped
TROUBDEMO_2,1.0,Strongly disagree
TROUBDEMO_2,2.0,Disagree
TROUBDEMO_2,3.0,Neither agree nor disagree
TROUBDEMO_2,4.0,Agree
TROUBDEMO_2,5.0,Strongly agree
TROUBDEMO_3,-1.0,Skipped
TROUBDEMO_3,1.0,Strongly disagree
TROUBDEMO_3,2.0,Disagree
TROUBDEMO_3,3.0,Neither agree nor disagree
TROUBDEMO_3,4.0,Agree
TROUBDEMO_3,5.0,Strongly agree
TROUBDEMO_4,-1.0,Skipped
TROUBDEMO_4,1.0,Strongly disagree
TROUBDEMO_4,2.0,Disagree
TROUBDEMO_4,3.0,Neither agree nor disagree
TROUBDEMO_4,4.0,Agree
TROUBDEMO_4,5.0,Strongly agree
TROUBDEMO_5,-1.0,Skipped
TROUBDEMO_5,1.0,Strongly disagree
TROUBDEMO_5,2.0,Disagree
TROUBDEMO_5,3.0,Neither agree nor disagree
TROUBDEMO_5,4.0,Agree
TROUBDEMO_5,5.0,Strongly agree
TROUBDEMO_6,-1.0,Skipped
TROUBDEMO_6,1.0,Strongly disagree
TROUBDEMO_6,2.0,Disagree
TROUBDEMO_6,3.0,Neither agree nor disagree
TROUBDEMO_6,4.0,Agree
TROUBDEMO_6,5.0,Strongly agree
TROUBDEMO_7,-1.0,Skipped
TROUBDEMO_7,1.0,Strongly disagree
TROUBDEMO_7,2.0,Disagree
TROUBDEMO_7,3.0,Neither agree nor disagree
TROUBDEMO_7,4.0,Agree
TROUBDEMO_7,5.0,Strongly agree
TROUBDEMO_8,-1.0,Skipped
TROUBDEMO_8,1.0,Strongly disagree
TROUBDEMO_8,2.0,Disagree
TROUBDEMO_8,3.0,Neither agree nor disagree
TROUBDEMO_8,4.0,Agree
TROUBDEMO_8,5.0,Strongly agree
TROUBDEMO_9,-1.0,Skipped
TROUBDEMO_9,1.0,Strongly disagree
TROUBDEMO_9,2.0,Disagree
TROUBDEMO_9,3.0,Neither agree nor disagree
TROUBDEMO_9,4.0,Agree
TROUBDEMO_9,5.0,Strongly agree
TROUBDEMO_10,-1.0,Skipped
TROUBDEMO_10,1.0,Strongly disagree
TROUBDEMO_10,2.0,Disagree
TROUBDEMO_10,3.0,Neither agree nor disagree
TROUBDEMO_10,4.0,Agree
TROUBDEMO_10,5.0,Strongly agree
TROUBDEMO_11,-1.0,Skipped
TROUBDEMO_11,1.0,Strongly disagree
TROUBDEMO_11,2.0,Disagree
TROUBDEMO_11,3.0,Neither agree nor disagree
TROUBDEMO_11,4.0,Agree
TROUBDEMO_11,5.0,Strongly agree
TROUBDEMO_12,-1.0,Skipped
TROUBDEMO_12,1.0,Strongly disagree
TROUBDEMO_12,2.0,Disagree
TROUBDEMO_12,3.0,Neither agree nor disagree
TROUBDEMO_12,4.0,Agree
TROUBDEMO_12,5.0,Strongly agree
Merit_1,-1.0,Skipped
Merit_1,1.0,Strongly disagree
Merit_1,2.0,Disagree
Merit_1,3.0,Neither agree nor disagree
Merit_1,4.0,Agree
Merit_1,5.0,Strongly agree
Merit_2,-1.0,Skipped
Merit_2,1.0,Strongly disagree
Merit_2,2.0,Disagree
Merit_2,3.0,Neither agree nor disagree
Merit_2,4.0,Agree
Merit_2,5.0,Strongly agree
Merit_3,-1.0,Skipped
Merit_3,1.0,Strongly disagree
Merit_3,2.0,Disagree
Merit_3,3.0,Neither agree nor disagree
Merit_3,4.0,Agree
Merit_3,5.0,Strongly agree
MERIT4_1,-1.0,Skipped
MERIT4_1,1.0,Strongly agree
MERIT4_1,2.0,Agree
MERIT4_1,3.0,Neither agree or disagree
MERIT4_1,4.0,Disagree
MERIT4_1,5.0,Strongly disagree
MERIT4_2,-1.0,Skipped
MERIT4_2,1.0,Strongly agree
MERIT4_2,2.0,Agree
MERIT4_2,3.0,Neither agree or disagree
MERIT4_2,4.0,Disagree
MERIT4_2,5.0,Strongly disagree
MERIT4_3,-1.0,Skipped
MERIT4_3,1.0,Strongly agree
MERIT4_3,2.0,Agree
MERIT4_3,3.0,Neither agree or disagree
MERIT4_3,4.0,Disagree
MERIT4_3,5.0,Strongly disagree
MERIT4_4,-1.0,Skipped
MERIT4_4,1.0,Strongly agree
MERIT4_4,2.0,Agree
MERIT4_4,3.0,Neither agree or disagree
MERIT4_4,4.0,Disagree
MERIT4_4,5.0,Strongly disagree
MERIT4_5,-1.0,Skipped
